MFile 1 2 480
MTrk
0 TimeSig 4/4 24 8
0 KeySig 2 major
0 Tempo 923080
0 Par ch=1 c=121 v=0
0 PrCh ch=1 p=0
0 Par ch=1 c=7 v=100
0 Par ch=1 c=10 v=64
0 Par ch=1 c=91 v=0
0 Par ch=1 c=93 v=0
0 Meta 0x21 00
0 On ch=1 n=74 v=49
227 On ch=1 n=74 v=0
240 On ch=1 n=76 v=49
467 On ch=1 n=76 v=0
480 On ch=1 n=78 v=49
707 On ch=1 n=78 v=0
720 On ch=1 n=69 v=49
720 On ch=1 n=81 v=49
1403 On ch=1 n=69 v=0
1403 On ch=1 n=81 v=0
1440 On ch=1 n=74 v=49
1781 On ch=1 n=74 v=0
1800 On ch=1 n=69 v=49
1913 On ch=1 n=69 v=0
1920 On ch=1 n=76 v=49
2147 On ch=1 n=76 v=0
2160 On ch=1 n=78 v=49
2387 On ch=1 n=78 v=0
2400 On ch=1 n=79 v=49
2627 On ch=1 n=79 v=0
2640 On ch=1 n=78 v=49
3323 On ch=1 n=78 v=0
3360 On ch=1 n=76 v=49
3815 On ch=1 n=76 v=0
3840 On ch=1 n=74 v=49
4067 On ch=1 n=74 v=0
4080 On ch=1 n=78 v=49
4307 On ch=1 n=78 v=0
4320 On ch=1 n=81 v=49
4547 On ch=1 n=81 v=0
4560 On ch=1 n=85 v=49
4560 On ch=1 n=74 v=49
5015 On ch=1 n=85 v=0
5040 On ch=1 n=86 v=49
5243 On ch=1 n=74 v=0
5267 On ch=1 n=86 v=0
5280 On ch=1 n=81 v=49
5735 On ch=1 n=81 v=0
5760 On ch=1 n=74 v=49
6671 On ch=1 n=74 v=0
6720 On ch=1 n=61 v=49
6720 On ch=1 n=64 v=49
6720 On ch=1 n=73 v=49
7517 On ch=1 n=61 v=0
7517 On ch=1 n=64 v=0
7517 On ch=1 n=73 v=0
7560 On ch=1 n=57 v=49
7673 On ch=1 n=57 v=0
7680 Tempo 857143
7680 On ch=1 n=64 v=64
7907 On ch=1 n=64 v=0
7920 On ch=1 n=62 v=64
8033 On ch=1 n=62 v=0
8040 On ch=1 n=64 v=64
8381 On ch=1 n=64 v=0
8400 On ch=1 n=66 v=64
8513 On ch=1 n=66 v=0
8520 On ch=1 n=64 v=64
8861 On ch=1 n=64 v=0
8880 On ch=1 n=62 v=64
8993 On ch=1 n=62 v=0
9000 On ch=1 n=62 v=64
9455 On ch=1 n=62 v=0
9480 On ch=1 n=57 v=64
9593 On ch=1 n=57 v=0
